Successfuly read failed26/ADGRA3.fas, in total 298 sequences.
Successfuly read hg38_species_name_cleaned/SAMD4A.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SAMD4B.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SAMD5.fas, in total 391 sequences.
Successfuly read hg38_species_name_cleaned/SAMD7.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SAMD8.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SAMD9.fas, in total 282 sequences.
Successfuly read hg38_species_name_cleaned/SAMD9L.fas, in total 250 sequences.
Successfuly read hg38_species_name_cleaned/SAMHD1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SAMM50.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SAMSN1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SAP130.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SAP18.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SAP25.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SAP30.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SAP30BP.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/SAP30L.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SAPCD1.fas, in total 386 sequences.
Successfuly read hg38_species_name_cleaned/SAPCD2.fas, in total 399 sequences.
Successfuly read hg38_species_name_cleaned/SAR1A.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SAR1B.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SARAF.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SARDH.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/SARM1.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SARNP.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SARS1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SARS2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SART1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SART3.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SASH1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SASH3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SASS6.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SAT1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SAT2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SATB1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SATB2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SATL1.fas, in total 210 sequences.
Successfuly read hg38_species_name_cleaned/SAV1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SAXO1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SAXO2.fas, in total 370 sequences.
Successfuly read hg38_species_name_cleaned/SAYSD1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SBDS.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SBF1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SBF2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SBK1.fas, in total 333 sequences.
Successfuly read hg38_species_name_cleaned/SBK2.fas, in total 383 sequences.
Successfuly read hg38_species_name_cleaned/SBK3.fas, in total 376 sequences.
Successfuly read hg38_species_name_cleaned/SBNO1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SBNO2.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/SBSN.fas, in total 208 sequences.
Successfuly read hg38_species_name_cleaned/SBSPON.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SC5D.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SCAF1.fas, in total 289 sequences.
Successfuly read hg38_species_name_cleaned/SCAF11.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/SCAF4.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SCAF8.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SCAI.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SCAMP1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SCAMP2.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/SCAMP3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCAMP4.fas, in total 415 sequences.
Successfuly read hg38_species_name_cleaned/SCAMP5.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SCAND1.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/SCAP.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SCAPER.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SCARA3.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SCARA5.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/SCARB1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/SCARB2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SCARF1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SCARF2.fas, in total 398 sequences.
Successfuly read hg38_species_name_cleaned/SCART1.fas, in total 195 sequences.
Successfuly read hg38_species_name_cleaned/SCCPDH.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SCD.fas, in total 401 sequences.
Successfuly read hg38_species_name_cleaned/SCD5.fas, in total 382 sequences.
Successfuly read hg38_species_name_cleaned/SCEL.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SCFD1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SCFD2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCG2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SCG3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCG5.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SCGB1A1.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/SCGB1C1.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/SCGB1C2.fas, in total 412 sequences.
Successfuly read hg38_species_name_cleaned/SCGB2B2.fas, in total 18 sequences.
Successfuly read hg38_species_name_cleaned/SCGB3A1.fas, in total 341 sequences.
Successfuly read hg38_species_name_cleaned/SCGB3A2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SCGN.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/SCHIP1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SCIMP.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SCIN.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SCLT1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SCLY.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SCMH1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCML2.fas, in total 395 sequences.
Successfuly read hg38_species_name_cleaned/SCML4.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SCN10A.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SCN11A.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SCN1A.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/SCN1B.fas, in total 351 sequences.
Successfuly read hg38_species_name_cleaned/SCN2A.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SCN2B.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SCN3A.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCN3B.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SCN4A.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SCN4B.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SCN5A.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SCN7A.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SCN8A.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/SCN9A.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SCNM1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SCNN1A.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SCNN1B.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SCNN1D.fas, in total 282 sequences.
Successfuly read hg38_species_name_cleaned/SCNN1G.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCO1.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/SCO2.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/SCOC.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SCP2.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/SCP2D1.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/SCPEP1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SCRG1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SCRIB.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/SCRN1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SCRN2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCRN3.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCRT1.fas, in total 328 sequences.
Successfuly read hg38_species_name_cleaned/SCRT2.fas, in total 330 sequences.
Successfuly read hg38_species_name_cleaned/SCT.fas, in total 386 sequences.
Successfuly read hg38_species_name_cleaned/SCTR.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SCUBE1.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SCUBE2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SCUBE3.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SCX.fas, in total 340 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR1.fas, in total 230 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR2.fas, in total 317 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR4.fas, in total 297 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR5.fas, in total 187 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR6.fas, in total 312 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR7.fas, in total 277 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR8.fas, in total 307 sequences.
Successfuly read hg38_species_name_cleaned/SCYGR9.fas, in total 214 sequences.
Successfuly read hg38_species_name_cleaned/SCYL1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SCYL2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SCYL3.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SDAD1.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SDC1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SDC2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SDC3.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/SDC4.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SDCBP2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SDCCAG8.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SDE2.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SDF2.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/SDF2L1.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/SDF4.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/SDHA.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SDHAF1.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/SDHAF2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SDHAF3.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/SDHAF4.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SDHB.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SDHC.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SDHD.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SDK1.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/SDK2.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/SDR16C5.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/SDR39U1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SDR42E1.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/SDR42E2.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SDR9C7.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SDS.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SDSL.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SEBOX.fas, in total 391 sequences.
Successfuly read hg38_species_name_cleaned/SEC11A.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SEC11C.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SEC13.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SEC14L1.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SEC14L2.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SEC14L3.fas, in total 396 sequences.
Successfuly read hg38_species_name_cleaned/SEC14L4.fas, in total 392 sequences.
Successfuly read hg38_species_name_cleaned/SEC14L5.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SEC14L6.fas, in total 177 sequences.
Successfuly read hg38_species_name_cleaned/SEC16A.fas, in total 407 sequences.
Successfuly read hg38_species_name_cleaned/SEC16B.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SEC22A.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SEC22B.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/SEC22C.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SEC23A.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SEC23B.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SEC23IP.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SEC24A.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SEC24B.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SEC24C.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/SEC24D.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SEC31A.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SEC31B.fas, in total 389 sequences.
Successfuly read hg38_species_name_cleaned/SEC61A1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SEC61A2.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/SEC61B.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SEC61G.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SEC62.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SEC63.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SECISBP2.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/SECISBP2L.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SECTM1.fas, in total 335 sequences.
Successfuly read hg38_species_name_cleaned/SEH1L.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SEL1L.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SEL1L2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SEL1L3.fas, in total 438 sequences.
Successfuly read hg38_species_name_cleaned/SELE.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SELENBP1.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SELENOF.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SELENOH.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SELENOI.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SELENOK.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SELENOM.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SELENON.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SELENOO.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/SELENOP.fas, in total 136 sequences.
Successfuly read hg38_species_name_cleaned/SELENOS.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SELENOT.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SELENOV.fas, in total 336 sequences.
Successfuly read hg38_species_name_cleaned/SELENOW.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SELL.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SELP.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SELPLG.fas, in total 372 sequences.
Successfuly read hg38_species_name_cleaned/SEM1.fas, in total 42 sequences.
Successfuly read hg38_species_name_cleaned/SEMA3A.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SEMA3B.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SEMA3C.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SEMA3D.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SEMA3E.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SEMA3F.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SEMA3G.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SEMA4A.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SEMA4B.fas, in total 426 sequences.
Successfuly read hg38_species_name_cleaned/SEMA4C.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SEMA4D.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SEMA4F.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SEMA4G.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SEMA5A.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/SEMA5B.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SEMA6A.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SEMA6B.fas, in total 403 sequences.
Successfuly read hg38_species_name_cleaned/SEMA6C.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SEMA6D.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SEMA7A.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SEMG2.fas, in total 87 sequences.
Successfuly read hg38_species_name_cleaned/SENP1.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/SENP2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SENP3.fas, in total 439 sequences.
Successfuly read hg38_species_name_cleaned/SENP5.fas, in total 417 sequences.
Successfuly read hg38_species_name_cleaned/SENP6.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SENP7.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SENP8.fas, in total 422 sequences.
Successfuly read hg38_species_name_cleaned/SEPHS1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SEPHS2.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/SEPSECS.fas, in total 411 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN11.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN12.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN2.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN3.fas, in total 414 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN4.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN5.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN6.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN7.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN8.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SEPTIN9.fas, in total 405 sequences.
Successfuly read hg38_species_name_cleaned/SERAC1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SERBP1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SERF1A.fas, in total 86 sequences.
Successfuly read hg38_species_name_cleaned/SERF1B.fas, in total 88 sequences.
Successfuly read hg38_species_name_cleaned/SERF2.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/SERGEF.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SERHL2.fas, in total 371 sequences.
Successfuly read hg38_species_name_cleaned/SERINC1.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SERINC2.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SERINC3.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SERINC4.fas, in total 367 sequences.
Successfuly read hg38_species_name_cleaned/SERINC5.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SERP1.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SERP2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA10.fas, in total 315 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA11.fas, in total 418 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA12.fas, in total 408 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA4.fas, in total 262 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA5.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA6.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA7.fas, in total 384 sequences.
Successfuly read hg38_species_name_cleaned/SERPINA9.fas, in total 274 sequences.
Successfuly read hg38_species_name_cleaned/SERPINB1.fas, in total 413 sequences.
Successfuly read hg38_species_name_cleaned/SERPINB10.fas, in total 404 sequences.
Successfuly read hg38_species_name_cleaned/SERPINB11.fas, in total 379 sequences.
Successfuly read hg38_species_name_cleaned/SERPINB12.fas, in total 385 sequences.
Successfuly read hg38_species_name_cleaned/SERPINB2.fas, in total 441 sequences.
Successfuly read hg38_species_name_cleaned/SERPINB5.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SERPINB7.fas, in total 393 sequences.
Successfuly read hg38_species_name_cleaned/SERPINC1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SERPIND1.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SERPINE1.fas, in total 437 sequences.
Successfuly read hg38_species_name_cleaned/SERPINE2.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SERPINE3.fas, in total 377 sequences.
Successfuly read hg38_species_name_cleaned/SERPINF1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SERPINF2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SERPING1.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/SERPINH1.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/SERPINI1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SERPINI2.fas, in total 429 sequences.
Successfuly read hg38_species_name_cleaned/SERTAD1.fas, in total 409 sequences.
Successfuly read hg38_species_name_cleaned/SERTAD2.fas, in total 392 sequences.
Successfuly read hg38_species_name_cleaned/SERTAD3.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SERTAD4.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SERTM1.fas, in total 416 sequences.
Successfuly read hg38_species_name_cleaned/SERTM2.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SESN1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SESN2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SESN3.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SESTD1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SET.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SETBP1.fas, in total 419 sequences.
Successfuly read hg38_species_name_cleaned/SETD1A.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SETD1B.fas, in total 390 sequences.
Successfuly read hg38_species_name_cleaned/SETD2.fas, in total 397 sequences.
Successfuly read hg38_species_name_cleaned/SETD3.fas, in total 441 sequences.
Successfuly read hg38_species_name_cleaned/SETD4.fas, in total 424 sequences.
Successfuly read hg38_species_name_cleaned/SETD5.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SETD6.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SETD7.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SETD9.fas, in total 391 sequences.
Successfuly read hg38_species_name_cleaned/SETDB1.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SETDB2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SETMAR.fas, in total 240 sequences.
Successfuly read hg38_species_name_cleaned/SETSIP.fas, in total 28 sequences.
Successfuly read hg38_species_name_cleaned/SEZ6.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SEZ6L.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SEZ6L2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SF1.fas, in total 421 sequences.
Successfuly read hg38_species_name_cleaned/SF3A1.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SF3A2.fas, in total 350 sequences.
Successfuly read hg38_species_name_cleaned/SF3A3.fas, in total 428 sequences.
Successfuly read hg38_species_name_cleaned/SF3B1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SF3B2.fas, in total 436 sequences.
Successfuly read hg38_species_name_cleaned/SF3B3.fas, in total 434 sequences.
Successfuly read hg38_species_name_cleaned/SF3B4.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SF3B5.fas, in total 423 sequences.
Successfuly read hg38_species_name_cleaned/SF3B6.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SFI1.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SFMBT1.fas, in total 435 sequences.
Successfuly read hg38_species_name_cleaned/SFMBT2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SFN.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SFPQ.fas, in total 420 sequences.
Successfuly read hg38_species_name_cleaned/SFR1.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SFRP1.fas, in total 372 sequences.
Successfuly read hg38_species_name_cleaned/SFRP2.fas, in total 410 sequences.
Successfuly read hg38_species_name_cleaned/SFRP4.fas, in total 433 sequences.
Successfuly read hg38_species_name_cleaned/SFRP5.fas, in total 369 sequences.
Successfuly read hg38_species_name_cleaned/SFSWAP.fas, in total 425 sequences.
Successfuly read hg38_species_name_cleaned/SFT2D1.fas, in total 427 sequences.
Successfuly read hg38_species_name_cleaned/SFT2D2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SFT2D3.fas, in total 372 sequences.
Successfuly read hg38_species_name_cleaned/SFTA2.fas, in total 432 sequences.
Successfuly read hg38_species_name_cleaned/SFTA3.fas, in total 160 sequences.
Successfuly read hg38_species_name_cleaned/SFTPA1.fas, in total 430 sequences.
Successfuly read hg38_species_name_cleaned/SFTPA2.fas, in total 431 sequences.
Successfuly read hg38_species_name_cleaned/SFTPB.fas, in total 424 sequences.
